source,brand,processor,gpu,ram_gb,ram_type,storage_gb,storage_type,os,price
ds01,Lenovo,Intel Celeron  N4020,Intel Integrated Intel UHD Graphics,8,DDR4,256,SSD,Windows 11,23990
ds01,HP,5th Gen AMD Ryzen 5 5625U,AMD Radeon Graphics,8,DDR4,512,SSD,Windows 11,37999
ds01,Honor,12th Gen Intel Core i5 12450H,Intel UHD Graphics,16,DDR4,512,SSD,Windows 11,52990
ds01,Lenovo,5th Gen AMD Ryzen 3 5300U,AMD Radeon Graphics,8,DDR4,512,SSD,Windows 11,30849
ds01,HP,12th Gen Intel Core i5 12450H,4GB NVIDIA GeForce GTX 1650,8,DDR4,512,SSD,Windows 11,58990
ds01,Zebronics,11th Gen Intel Core i5 1155G7,Intel Integrated UHD,16,LPDDR4X,512,SSD,Windows 11,34990
ds01,Lenovo,7th Gen AMD Ryzen 7 7730U,AMD Radeon AMD,16,DDR4,512,SSD,Windows 11,49990
ds01,HP,12th Gen Intel Core i5 1235U,Intel Iris Xe Graphics,8,DDR4,512,SSD,Windows 11,51780
ds01,Asus,11th Gen Intel Core i7 11800H,4GB NVIDIA GeForce RTX 3050 Ti,16,DDR4,512,SSD,Windows 11,68990
ds01,Asus,12th Gen Intel Core i7 12700H ,4GB NVIDIA GeForce RTX 3050,16,DDR5,1024,SSD,Windows 11,85990
ds01,Lenovo,13th Gen Intel Core i7 13620H,6GB NVIDIA GeForce RTX 4050,16,DDR5,512,SSD,Windows 11,96990
ds01,Lenovo,13th Gen Intel Core i9 13900H,8GB NVIDIA GeForce RTX 4060,32,DDR5,1024,SSD,Windows 11,148990
ds01,Asus,12th Gen Intel Core i5 12500H,4GB NVIDIA GeForce RTX 3050,16,DDR5,512,SSD,Windows 11,72990
ds01,Dell,13th Gen Intel Core i7 1360P,Intel Iris Xe Graphics,16,LPDDR5,1024,SSD,Windows 11,84490
ds01,Asus,12th Gen Intel Core i7 12650H,Intel Iris Xe,16,DDR4,512,SSD,Windows 11,60990
ds01,Infinix,11th Gen Intel Core i5 1155G7,Intel Integrated Iris Xe,16,LPDDR4X,512,SSD,Windows 11,33990
ds01,Asus,11th Gen Intel Core i3 1115G4,Intel Integrated Intel UHD,16,DDR4,512,SSD,Windows 11,35990
ds01,Acer,12th Gen Intel Core i5 12450H,4GB NVIDIA GeForce GTX 3050,16,DDR4,512,SSD,Windows 11,60990
ds01,Xiaomi,12th Gen Intel Core i5 12500H,Intel Iris Xe Graphics,16,DDR5,512,SSD,Windows 11,43990
ds01,Asus,12th Gen Intel Core i5 12450H,4GB NVIDIA GeForce RTX 2050,16,DDR4,512,SSD,Windows 11,62990
ds01,MSI,11th Gen Intel Core i7 11800H,4GB NVIDIA GeForce RTX 3050,16,DDR4,1024,HDD,Windows 11,65990
ds01,Infinix,11th Gen Intel Celeron N5100,Intel Integrated UHD,8,LPDDR4X,512,SSD,Windows 11,23990
ds01,Asus,11th Gen Intel Core i5 11400H ,4GB NVIDIA GeForce RTX 3050,16,DDR4,512,SSD,Windows 11,61990
ds01,Dell,5th Gen AMD Ryzen 3 5425U,AMD Radeon Radeon Graphics,8,DDR4,512,SSD,Windows 11,36990
ds01,Asus,5th Gen AMD Ryzen 5 5600H,AMD Radeon Vega 7 Graphics,16,DDR4,512,SSD,Windows 11,50970
ds01,Dell,10th Gen Intel Core i7 10750H,4GB NVIDIA ,16,DDR4,512,SSD,Windows 10,184999
ds01,HP,7th Gen AMD Ryzen 7 7840HS,6GB NVIDIA GeForce RTX 4050,16,DDR5,1024,SSD,Windows 11,109990
ds01,Zebronics,12th Gen Intel Core i5 1235U,Intel Integrated,16,DDR4,512,SSD,Windows 11,42990
ds01,HP,12th Gen Intel Core i3 1215U,Intel Integrated UHD,8,DDR4,512,SSD,Windows 11,39150
ds01,Acer,13th Gen Intel Core i5 13500H,Intel Integrated Iris Xe,16,LPDDR5,512,SSD,Windows 11,92999
ds01,HP,7th Gen AMD Ryzen 7 7840HS,6GB NVIDIA GeForce RTX 3050,16,DDR5,512,SSD,Windows 11,80990
ds01,HP,7th Gen AMD Ryzen 5 7535HS,4GB NVIDIA GeForce RTX 2050,8,DDR5,512,SSD,Windows 11,55850
ds01,Acer,11th Gen Intel Core i5 1135G7,Intel Iris XE Graphics ,8,DDR4,512,SSD,Windows 11,38990
ds01,MSI,11th Gen Intel Core i5 11260H,GB NVIDIA GeForce RTX 2050,16,DDR4,1024,HDD,Windows 11,53990
ds01,Infinix,12th Gen Intel Core i5 1235U,Intel Integrated Iris Xe,16,LPDDR4X,512,SSD,Windows 11,38990
ds01,HP,7th Gen AMD Ryzen 7 7840HS,8GB NVIDIA GeForce RTX 4060,16,DDR5,1024,SSD,Windows 11,139234
ds01,MSI,11th Gen Intel Core i5 11260H,4GB NVIDIA GeForce RTX 3050,16,DDR4,1024,HDD,Windows 11,57990
ds01,Lenovo,13th Gen Intel Core i5 13420H,8GB NVIDIA GeForce RTX 4060,8,DDR5,512,SSD,Windows 11,89999
ds01,Acer,11th Gen Intel Core i5  1135G7,Intel Iris Xe Graphics,16,DDR4,512,SSD,Windows 11,37990
ds01,Asus,11th Gen Intel Core i3 1115G4,Intel Integrated Intel UHD,8,DDR4,512,SSD,Windows 11,30990
ds01,Dell,13th Gen Intel Core i5 13450HX,6GB NVIDIA GeForce RTX 3050,16,DDR5,512,SSD,Windows 11,92990
ds01,HP,12th Gen Intel Core i3 1215U,Intel UHD Graphics,8,DDR4,512,SSD,Windows 11,42990
ds01,Asus,11th Gen Intel Core i5 11400H ,4GB NVIDIA GeForce RTX 2050,16,DDR4,512,SSD,Windows 11,59089
ds01,HP,12th Gen Intel Core i5 12450H,4GB NVIDIA GeForce RTX 3050,16,DDR4,512,SSD,Windows 11,72999
ds01,HP,6th Gen AMD Ryzen 7  6800H,8GB NVIDIA GeForce RTX 3070 Ti ,16,DDR5,1024,SSD,Windows 11,126742
ds01,Apple,Apple M2,10-Core GPU,8,DDR4,256,SSD,macOS,126990
ds01,Samsung,12th Gen Intel Core i5 1235U,Intel Integrated UHD,8,LPDDR4,512,SSD,Windows 11,49990
ds01,Dell,12th Gen Intel Core i5 1240P,Intel Integrated UHD,16,DDR5,512,SSD,Windows 11,74390
ds01,Dell,12th Gen Intel Core i5 1235U,Intel UHD Graphics,8,DDR4,512,SSD,Windows 11,52990
ds01,Lenovo,11th Gen Intel Core i5 11300H,4GB NVIDIA GeForce RTX 3050 Graphics,8,DDR4,512,SSD,Windows 11,60990
ds01,HP,6th Gen AMD Ryzen 7  6800H,8GB AMD Radeon RX 6650M,16,DDR5,512,SSD,Windows 11,98174
ds01,Lenovo,AMD Athlon Pro 3045B,AMD Radeon Graphics,8,DDR4,256,SSD,Windows 11,18990
ds01,Asus,11th Gen Intel Core i5 1135G7,Intel Integrated Iris Xe,8,DDR4,512,SSD,Windows 11,38990
ds01,HP,5th Gen AMD Ryzen 5  5500U,AMD Radeon AMD,8,DDR4,512,SSD,Windows 11,41950
